Date,Week,Month,Year,Lines,Models,DefectsDescription,InspectedQty,DefectsQty,DefectsDescriptionqty,Defects %,DefectStatus,Check,FPY,DPPM
2024-09-26,39,September,2024,A03,CLA5,Earphone silent,,,1,,Scanned,Assembly,,
2024-09-26,39,September,2024,A03,CLA5,frozen screen when poweron,,,1,,Scanned,Assembly,,
2024-09-26,39,September,2024,A09,CLA5,TP touch drift,,,1,,Scanned,Assembly,,
2024-09-26,39,September,2024,A08,KL5,TP damage,,,1,,Scanned,Assembly,,
2024-09-26,39,September,2024,A08,KL5,Camera particle,,,1,,Scanned,Assembly,,
2024-09-26,39,September,2024,A08,KL5,TP scratch,,,1,,Scanned,Assembly,,
2024-09-26,39,September,2024,A08,KL5,"Screen blackdots,lightspots,colorpoints",,,1,,Scanned,Assembly,,
2024-09-26,39,September,2024,A06,KL5,"Screen blackdots,lightspots,colorpoints",,,1,,Scanned,Assembly,,
2024-09-26,39,September,2024,A06,KL5,"Screen blackdots,lightspots,colorpoints",,,1,,Scanned,Assembly,,
2024-09-26,39,September,2024,A06,KL5,Front camera is light-leaking,,,1,,Scanned,Assembly,,
2024-09-26,39,September,2024,A08,KL5,front/back camera no function,,,1,,Scanned,Assembly,,
2024-09-26,39,September,2024,A06,KL5,Speakersnoise/lowvolume,,,1,,Scanned,Assembly,,
2024-09-26,39,September,2024,A08,KL5,TP scratch,,,1,,Scanned,Assembly,,
2024-09-26,39,September,2024,A06,KL5,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-09-26,39,September,2024,A08,KL5,Mid housing scratch,,,1,,Scanned,Assembly,,
2024-09-26,39,September,2024,A06,KL5,Automatic restart,,,1,,Scanned,Assembly,,
2024-09-26,39,September,2024,A08,KL5,Mid housing scratch,,,1,,Scanned,Assembly,,
2024-09-26,39,September,2024,A09,CLA5,"Screen blackdots,lightspots,colorpoints",,,1,,Scanned,Assembly,,
2024-09-26,39,September,2024,A06,KL5,TP scratch,,,1,,Scanned,Assembly,,
2024-09-26,39,September,2024,A06,KL5,Mid housing scratch,,,1,,Scanned,Assembly,,
2024-09-26,39,September,2024,A09,CLA5,Camera fuzziness,,,1,,Scanned,Assembly,,
2024-09-26,39,September,2024,A09,CLA5,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-09-26,39,September,2024,A06,KL5,Mid housing scratch,,,1,,Scanned,Assembly,,
2024-09-26,39,September,2024,A08,KL5,Mid housing scratch,,,1,,Scanned,Assembly,,
2024-09-26,39,September,2024,A08,KL5,front/back camera no function,,,1,,Scanned,Assembly,,
2024-09-26,39,September,2024,A09,CLA5,"Micwassilent,soundsmall,andnoisy",,,1,,Scanned,Assembly,,
2024-09-26,39,September,2024,A09,CLA5,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-09-26,39,September,2024,A06,KL5,Automatic restart,,,1,,Scanned,Assembly,,
2024-09-26,39,September,2024,A09,CLA5,Tp drift,,,2,,Un-scanned,Assembly,,
2024-09-26,39,September,2024,A09,CLA5,excessive Glue,,,1,,Un-scanned,Assembly,,
2024-09-26,39,September,2024,A09,CLA5,Screw Loose,,,2,,Un-scanned,Assembly,,
2024-09-26,39,September,2024,A09,CLA5,Camera particle,,,2,,Un-scanned,Assembly,,
2024-09-26,39,September,2024,A09,CLA5,Coaxial wire miss allign,,,4,,Un-scanned,Assembly,,
2024-09-26,39,September,2024,A08,KL5,Screw Loose,,,11,,Un-scanned,Assembly,,
2024-09-26,39,September,2024,A08,KL5,Camera particle,,,5,,Un-scanned,Assembly,,
2024-09-26,39,September,2024,A08,KL5,Antenna deform,,,7,,Un-scanned,Assembly,,
2024-09-26,39,September,2024,A03,CLA5,Screw Loose,,,4,,Un-scanned,Assembly,,
2024-09-26,39,September,2024,A03,CLA5,Lower mylar missing,,,2,,Un-scanned,Assembly,,
2024-09-26,39,September,2024,A03,CLA5,excessive Glue,,,4,,Un-scanned,Assembly,,
2024-09-26,39,September,2024,A03,CLA5,Battery cover gap too large,,,2,,Un-scanned,Assembly,,
2024-09-27,39,September,2024,A03,CLA5,TP failure,,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A03,CLA5,"Screen blackdots,lightspots,colorpoints",,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A03,CLA5,WIFIcannot be searched,,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A06,KL5,Automatic restart,,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A06,KL5,"Screen blackdots,lightspots,colorpoints",,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A08,KL5,"Screen blackdots,lightspots,colorpoints",,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A06,KL5,"Screen blackdots,lightspots,colorpoints",,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A06,KL5,Speakersnoise/lowvolume,,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A06,KL5,not detect thefinger print,,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A06,KL5,Camera fuzziness,,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A08,KL5,Camera fuzziness,,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A08,KL5,"Micwassilent,soundsmall,andnoisy",,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A06,KL5,front/back camera no function,,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A06,KL5,"Screen blackdots,lightspots,colorpoints",,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A06,KL5,Qr code post reverse,,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A06,KL5,"Screen blackdots,lightspots,colorpoints",,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A06,KL5,"Screen blackdots,lightspots,colorpoints",,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A06,KL5,"Screen blackdots,lightspots,colorpoints",,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A09,CLA5,Mobile phone is not charged and unstable,,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A06,KL5,"Screen blackdots,lightspots,colorpoints",,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A06,KL5,"Screen blackdots,lightspots,colorpoints",,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A06,KL5,"Screen blackdots,lightspots,colorpoints",,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A06,KL5,front/back camera no function,,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A06,KL5,receiver small /Noise,,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A06,KL5,"Screen blackdots,lightspots,colorpoints",,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A06,KL5,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A06,KL5,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A06,KL5,front/back camera no function,,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A06,KL5,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A06,KL5,Senseoflight/distancefails,,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A03,CLA5,"Micwassilent,soundsmall,andnoisy",,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A06,KL5,front/back camera no function,,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A06,KL5,Power not on / Abnormal / poor display,,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A06,KL5,receiver small /Noise,,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A06,KL5,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A06,KL5,Camera fuzziness,,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A06,KL5,"Screen blackdots,lightspots,colorpoints",,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A06,KL5,"Screen blackdots,lightspots,colorpoints",,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A09,CLA5,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A06,KL5,front/back camera no function,,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A06,KL5,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A06,KL5,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-09-27,39,September,2024,A06,KL5,Mid housing scratch,,,1,,Scanned,Assembly,,
