Date,Week,Month,Year,Lines,Models,DefectsDescription,InspectedQty,DefectsDescriptionqty,DefectStatus,Check
8/1/2024,31,August,2024,A12,BG7,Antenna machine band fail,0,1,Scanned,Assembly
8/1/2024,31,August,2024,A09,X6525,"Screen blackdots,lightspots,colorpoints",0,1,Scanned,Assembly
8/1/2024,31,August,2024,A09,X6525,"Screen blackdots,lightspots,colorpoints",0,1,Scanned,Assembly
8/1/2024,31,August,2024,A09,X6525,"Screen blackdots,lightspots,colorpoints",0,1,Scanned,Assembly
8/1/2024,31,August,2024,A12,BG7,"Screen blackdots,lightspots,colorpoints",0,1,Scanned,Assembly
8/1/2024,31,August,2024,A12,BG7,PS fail,0,1,Scanned,Assembly
8/1/2024,31,August,2024,A12,BG7,Material code change,0,1,Scanned,Assembly
8/1/2024,31,August,2024,A12,BG7,Mid housing scratch,0,1,Scanned,Assembly
8/1/2024,31,August,2024,A12,BG7,decorate shell scratch,0,1,Scanned,Assembly
8/1/2024,31,August,2024,A07,BG6,Antenna machine band fail,0,1,Scanned,Assembly
8/1/2024,31,August,2024,A07,BG6,Antenna machine band fail,0,1,Scanned,Assembly
8/1/2024,31,August,2024,A07,BG6,Antenna machine band fail,0,1,Scanned,Assembly
8/1/2024,31,August,2024,A05,X6528,Antenna machine band fail,0,1,Scanned,Assembly
8/1/2024,31,August,2024,A08,A665L,receiver small /Noise,0,1,Scanned,Assembly
8/1/2024,31,August,2024,A08,A665L,"Screen blackdots,lightspots,colorpoints",0,1,Scanned,Assembly
8/1/2024,31,August,2024,A07,BG6,"Micwassilent,soundsmall,andnoisy",0,1,Scanned,Assembly
8/1/2024,31,August,2024,A07,BG6,not detect thefinger print,0,1,Scanned,Assembly
8/1/2024,31,August,2024,A08,A665L,Mid housing scratch,0,1,Scanned,Assembly
8/1/2024,31,August,2024,A08,A665L,Mid housing scratch,0,1,Scanned,Assembly
8/1/2024,31,August,2024,A08,A665L,Mid housing scratch,0,1,Scanned,Assembly
8/1/2024,31,August,2024,A07,BG6,Earphone silent,0,1,Scanned,Assembly
8/1/2024,31,August,2024,A09,X6525,Battery cover scratch,0,1,Scanned,Assembly
8/1/2024,31,August,2024,A09,X6525,Antenna machine band fail,0,1,Scanned,Assembly
8/1/2024,31,August,2024,A05,X6528,Antenna machine band fail,0,1,Scanned,Assembly
8/1/2024,31,August,2024,A07,BG6,"Screen blackdots,lightspots,colorpoints",0,1,Scanned,Assembly
8/1/2024,31,August,2024,A12,BG7,Antenna machine band fail,0,1,Scanned,Assembly
8/1/2024,31,August,2024,A12,BG7,Antenna machine band fail,0,1,Scanned,Assembly
8/1/2024,31,August,2024,A12,BG7,Antenna machine band fail,0,1,Scanned,Assembly
8/1/2024,31,August,2024,A05,X6528,Antenna machine band fail,0,1,Scanned,Assembly
8/1/2024,31,August,2024,A07,BG6,"Screen blackdots,lightspots,colorpoints",0,1,Scanned,Assembly
8/1/2024,31,August,2024,A07,BG6,"Screen blackdots,lightspots,colorpoints",0,1,Scanned,Assembly
8/1/2024,31,August,2024,A08,A665L,Antenna machine band fail,0,1,Scanned,Assembly
8/1/2024,31,August,2024,A07,BG6,"Screen blackdots,lightspots,colorpoints",0,1,Scanned,Assembly
8/1/2024,31,August,2024,A07,BG6,PS fail,0,1,Scanned,Assembly
8/1/2024,31,August,2024,A12,BG7,Antenna machine band fail,0,1,Scanned,Assembly
8/1/2024,31,August,2024,A12,BG7,receiver small /Noise,0,1,Scanned,Assembly
8/1/2024,31,August,2024,A12,BG7,Speakersnoise/lowvolume,0,1,Scanned,Assembly
8/1/2024,31,August,2024,A10,X6528,Antenna machine band fail,0,1,Scanned,Assembly
8/1/2024,31,August,2024,A09,X6525,Vibration fail/continuous,0,1,Scanned,Assembly
8/1/2024,31,August,2024,A12,BG7,The back camera has a bad white spot,0,1,Scanned,Assembly
8/1/2024,31,August,2024,A07,BG6,PS fail,0,1,Scanned,Assembly
8/1/2024,31,August,2024,A08,A665L,Antenna machine band fail,0,1,Scanned,Assembly
8/1/2024,31,August,2024,A12,BG7,Antenna machine band fail,0,1,Scanned,Assembly
8/1/2024,31,August,2024,A09,X6525,Camera particle,0,1,Scanned,Assembly
8/1/2024,31,August,2024,A08,A665L,Mid housing scratch,0,1,Scanned,Assembly
8/1/2024,31,August,2024,A09,X6525,Vibration fail/continuous,0,1,Scanned,Assembly
8/1/2024,31,August,2024,A09,X6525,Battery cover gap too large,0,1,Scanned,Assembly
8/1/2024,31,August,2024,A09,X6525,Mi housing off paint,0,1,Scanned,Assembly
8/1/2024,31,August,2024,A07,BG6,Antenna machine band fail,0,1,Scanned,Assembly
8/1/2024,31,August,2024,A07,BG6,Antenna machine band fail,0,1,Scanned,Assembly
8/1/2024,31,August,2024,A12,BG7,Mid housing scratch,0,1,Scanned,Assembly
8/1/2024,31,August,2024,A12,BG7,Battery cover scratch,0,1,Scanned,Assembly
8/1/2024,31,August,2024,A08,A665L,Antenna machine band fail,0,1,Scanned,Assembly
8/1/2024,31,August,2024,A09,X6525,Battery cover scratch,0,1,Scanned,Assembly
8/1/2024,31,August,2024,A05,X6528,Antenna machine band fail,0,1,Scanned,Assembly
8/1/2024,31,August,2024,A05,X6528,Antenna machine band fail,0,1,Scanned,Assembly
8/1/2024,31,August,2024,A07,BG6,TP scratch,0,1,Scanned,Assembly
