Date,Week,Month,Year,Lines,Models,DefectsDescription,InspectedQty,DefectsQty,DefectsDescriptionqty,Defects %,DefectStatus,Check,FPY,DPPM
2024-08-01,31,August,2024,A12,BG7,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A09,X6525,"Screen blackdots,lightspots,colorpoints",,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A09,X6525,"Screen blackdots,lightspots,colorpoints",,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A09,X6525,"Screen blackdots,lightspots,colorpoints",,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A12,BG7,"Screen blackdots,lightspots,colorpoints",,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A12,BG7,PS fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A12,BG7,Material code change,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A12,BG7,Mid housing scratch,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A12,BG7,decorate shell scratch,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A07,BG6,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A07,BG6,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A07,BG6,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A05,X6528,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A08,A665L,receiver small /Noise,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A08,A665L,"Screen blackdots,lightspots,colorpoints",,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A07,BG6,"Micwassilent,soundsmall,andnoisy",,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A07,BG6,not detect thefinger print,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A08,A665L,Mid housing scratch,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A08,A665L,Mid housing scratch,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A08,A665L,Mid housing scratch,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A07,BG6,Earphone silent,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A09,X6525,Battery cover scratch,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A09,X6525,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A05,X6528,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A07,BG6,"Screen blackdots,lightspots,colorpoints",,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A12,BG7,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A12,BG7,Antenna machine band fail,,,1,,Scanned,Assembly,,
2024-08-01,31,August,2024,A12,BG7,Antenna machine band fail,,,1,,Scanned,Assembly,,
